time_seconds,milepost,speed_mps,accel_ms2,F_dynamic_kN,F_air_kN,F_total_brake_kN,F_resistance_kN,pwr_whl_out_watts,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_aero_newtons
3073.0,242.00195075381893,12.903875473888268,-0.16417277239864095,0.0,0.0,0.0,3837.6675461089303,6377172.426293615,429321.848391869,166098.7833920996,1006084.5210898916,2136162.39323507
3074.0,242.0099116470279,12.719692279940688,-0.16894298168240038,0.0,0.0,0.0,3789.1787995366417,6377172.426293615,432954.3970001354,166027.8452145105,1006084.5210898916,2084112.0362321043
3075.0,242.01775417202944,12.522886092019352,-0.17191352983176503,0.0,0.0,0.0,3731.0694960388178,6377172.426293615,434182.84315045824,165760.55307142265,1006084.5210898916,2025041.5787270456
3076.0,242.0254676946356,12.30447484997608,-0.17224766685488543,0.0,0.0,0.0,3669.896773320941,6377172.426293615,435393.0238919993,165558.0046799408,1006084.5210898916,1962861.2236591096
3077.0,242.03306133240983,12.137015181186214,-0.16957661732775187,0.0,0.0,0.0,3602.247954871244,6377172.426293615,435751.2756671588,165422.25227734543,1006084.5210898916,1894989.905836848
3078.0,242.04055141226863,11.97115505865089,-0.16404877769638368,0.0,0.0,0.0,3550.9523649253033,6377172.426293615,435751.2756671589,165355.98824115004,1006084.5210898916,1843760.5799271031
3079.0,242.04793942814845,11.80850389341981,-0.15622097275647945,0.0,0.0,0.0,3500.888142773926,6377172.426293615,435751.27566715906,165339.79369144703,1006084.5210898916,1793712.5523254282
3080.0,242.05522549807174,11.64302364732174,-0.14688616161910548,0.0,0.0,0.0,3452.4803477927553,6377172.426293615,435751.27566715947,165342.94096276505,1006084.5210898916,1745301.6100729392
3081.0,242.06241791007457,11.507049017939892,-0.13691433738875144,0.0,0.0,0.0,3403.953147286206,6377172.426293615,435751.27566715976,165389.08738370656,1006084.5210898916,1696728.2631454482
3082.0,242.0695341807923,11.39794921575168,-0.1271224079120661,0.0,0.0,0.0,3364.662800606095,6377172.426293615,435751.27566715976,165498.26492204642,1006084.5210898916,1657328.7389269972
3083.0,242.0765837377126,11.292318652535984,-0.1181598627573758,0.0,0.0,0.0,3333.358200844477,6377172.426293615,435559.7520890007,165662.89961843894,1006084.5210898916,1626051.0280471458
3084.0,242.0835686215743,11.189787335466074,-0.11041860034873796,0.0,0.0,0.0,3302.8022166507003,6377172.426293615,434786.99561826425,165878.89124209352,1006084.5210898916,1596051.8087004505
3085.0,242.09049076188998,11.090367255761135,-0.10400122609631006,0.0,0.0,0.0,3273.201380655205,6377172.426293615,433772.5597973069,166144.38069471787,1006084.5210898916,1567199.9190732888
3086.0,242.09735209223155,10.994059488078587,-0.09876867581316938,0.0,0.0,0.0,3244.7853741466834,6377172.426293615,432767.23641141655,166458.7925081886,1006084.5210898916,1539474.8241371862
3087.0,242.10415454372537,10.900855086038044,-0.09444670711389941,0.0,0.0,0.0,3217.5318569331066,6377172.426293615,431770.7446420861,166823.00101604167,1006084.5210898916,1512853.5901850874
3088.0,242.11090003910473,10.810735981623449,-0.09073850495364469,0.0,0.0,0.0,3191.4105588039897,6377172.426293615,430782.80402599624,167231.96780666997,1006084.5210898916,1487311.265881432
3089.0,242.1175904873191,10.72367587692808,-0.08740051208419986,0.0,0.0,0.0,3166.396771096627,6377172.426293615,429803.135318769,167687.87517848366,1006084.5210898916,1462821.239509483
3090.0,242.12422777869162,10.639641118022396,-0.0842706956555327,0.0,0.0,0.0,3142.444999577265,6377172.426293615,428831.4612779021,168173.44641720297,1006084.5210898916,1439355.5707922685
3091.0,242.13081378190282,10.558595697807364,-0.08125651065240162,0.0,0.0,0.0,3119.5093679786014,6377172.426293615,427867.5073660355,168672.0432499724,1006084.5210898916,1416885.2962727018
3092.0,242.13735034153166,10.480498048308316,-0.07831534248952204,0.0,0.0,0.0,3097.5491862459126,6377172.426293615,426911.00218904775,169171.85678015373,1006084.5210898916,1395381.8061868197
3093.0,242.14383927298556,10.4052958437653,-0.07543107377771141,0.0,0.0,0.0,3076.5301175208956,6377172.426293615,425961.6778531548,169667.91802375717,1006084.5210898916,1374816.0005540922
3094.0,242.15028236024884,10.332940268773076,-0.07260040721363296,0.0,0.0,0.0,3056.4211176071485,6377172.426293615,425019.2707012381,170160.3647525359,1006084.5210898916,1355156.961063483
3095.0,242.15668135502446,10.263376235640704,-0.06982405198121557,0.0,0.0,0.0,3037.1930837561436,6377172.426293615,424083.5216398625,170649.3323535298,1006084.5210898916,1336375.7086728597
3096.0,242.16303797269074,10.19654191450939,-0.06710405953853765,0.0,0.0,0.0,3018.8128370092877,6377172.426293615,423154.1762638999,171131.51756835455,1006084.5210898916,1318442.622087142
3097.0,242.1693538908458,10.132377532806156,-0.06444306755473757,0.0,0.0,0.0,3001.245716419276,6377172.426293615,422230.9854437672,171602.8740922322,1006084.5210898916,1301327.335793385
3098.0,242.17563074917865,10.070820845974527,-0.06184329276140895,0.0,0.0,0.0,2984.4670006708516,6377172.426293615,421313.7055368173,172067.78604114827,1006084.5210898916,1285000.9880029946
3099.0,242.18187014827404,10.011808234328957,-0.05930655965632965,0.0,0.0,0.0,2968.457203005461,6377172.426293615,420402.0984060494,172535.56231616836,1006084.5210898916,1269435.0211933514
3100.0,242.18807364796623,9.955272154992016,-0.05683433890659363,0.0,0.0,0.0,2953.189982581047,6377172.426293615,419495.9315936991,173008.0941362528,1006084.5210898916,1254601.4357612035
3101.0,242.19424276659026,9.901146577805026,-0.054427774257243794,0.0,0.0,0.0,2938.627031870086,6377172.426293615,418594.97856031,173475.4076149008,1006084.5210898916,1240472.124604983
