fric_brake.history.i,fric_brake.history.force_newtons,fric_brake.history.force_max_curr_newtons,history.time_seconds,history.i,history.offset_meters,history.offset_back_meters,history.total_dist_meters,history.link_idx_front,history.link_idx_back,history.offset_in_link_meters,history.speed_meters_per_second,history.speed_limit_meters_per_second,history.speed_target_meters_per_second,history.dt_seconds,history.length_meters,history.mass_static_kilograms,history.mass_rot_kilograms,history.mass_freight_kilograms,history.weight_static_newtons,history.res_rolling_newtons,history.res_bearing_newtons,history.res_davis_b_newtons,history.res_aero_newtons,history.res_grade_newtons,history.res_curve_newtons,history.grade_front,history.grade_back,history.elev_front_meters,history.elev_back_meters,history.pwr_res_watts,history.pwr_accel_watts,history.pwr_whl_out_watts,history.energy_whl_out_joules,history.energy_whl_out_pos_joules,history.energy_whl_out_neg_joules
0,0.0,12715254.816060832,0.0,0,2000.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,2000.0,13752700.0,400000.0,9972700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,12715254.816060832,1.0,1,2000.0883931067574,0.0,0.08839310675748516,1,1,2000.0,0.17678621351497031,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14743.771851839525,221159.75146253686,471807.0466287528,471807.0466287528,471807.0466287528,0.0
2,0.0,12715254.816060832,2.0,2,2000.353571074448,0.08839310675739398,0.3535710744480135,1,1,2000.0883931067574,0.35356972186608643,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,38.285372478976825,0.0,0.0,0.0,0.0,0.0,0.0,44241.2423851546,663465.7177873274,943606.8737162114,1415413.9203449641,1415413.9203449641,0.0
3,0.0,12715254.816060832,3.0,3,2000.7955284928266,0.35357107444792746,0.7955284928266647,1,1,2000.353571074448,0.5303451148912159,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,153.1391465700656,0.0,0.0,0.0,0.0,0.0,0.0,73785.18660909592,1105710.7715598487,1415385.042621677,2830798.9629666414,2830798.9629666414,0.0
4,0.0,12715254.816060832,4.0,4,2001.4142545418588,0.7955284928266337,1.4142545418589183,1,1,2000.7955284928266,0.7071069831732916,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,344.5507775889969,0.0,0.0,0.0,0.0,0.0,0.0,103415.29909039281,1547840.7805668858,1887127.1166928806,4717926.079659522,4717926.079659522,0.0
5,0.0,12715254.816060832,5.0,5,2002.2097329927967,1.4142545418587815,2.2097329927967846,1,1,2001.4142545418588,0.8838499187024412,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,612.5003499242312,0.0,0.0,0.0,0.0,0.0,0.0,133171.25138175272,1989801.6384812258,2358818.663033075,7076744.742692597,7076744.742692597,0.0
6,0.0,12715254.816060832,6.0,6,2003.1819422099168,2.2097329927967166,3.181942209916906,1,1,2002.2097329927967,1.0605685155378015,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,956.9585815181321,0.0,0.0,0.0,0.0,0.0,0.0,163092.67971855687,2431539.278931624,2830445.2542672846,9907189.996959882,9907189.996959882,0.0
7,0.0,12715254.816060832,7.0,7,2004.33085515292,3.1819422099167696,4.330855152920227,1,1,2003.1819422099168,1.2372573704688419,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,1377.8868307838186,0.0,0.0,0.0,0.0,0.0,0.0,193219.1727308873,2872999.6895563765,3301992.4703072454,13209182.467267128,13209182.467267128,0.0
8,0.0,12715254.816060832,8.0,8,2005.6564393799924,4.330855152920094,5.656439379992663,1,1,2004.33085515292,1.4139110836760296,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,1875.2371059548545,0.0,0.0,0.0,0.0,0.0,0.0,223590.25917669406,3314128.926034221,3773445.9001145875,16982628.367381714,16982628.367381714,0.0
9,0.0,12715254.816060832,9.0,9,2007.1586570515258,5.656439379992435,7.158657051526008,1,1,2005.6564393799924,1.5905242593906606,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,2448.952076863857,0.0,0.0,0.0,0.0,0.0,0.0,254245.39570189998,3754873.126086294,4244791.143461795,21227419.510843508,21227419.510843508,0.0
10,0.0,12715254.816060832,10.0,10,2008.837464934498,7.158657051525779,8.837464934498183,1,1,2007.1586570515258,1.7670915065536879,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,3098.9650891450065,0.0,0.0,0.0,0.0,0.0,0.0,285223.954633219,4195178.52344292,4716013.8126904825,25943433.32353399,25943433.32353399,0.0
11,0.0,12715254.816060832,11.0,11,2010.6928144075116,8.83746493449803,10.692814407511715,1,1,2008.837464934498,1.9436074394733758,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,3825.2001808543732,0.0,0.0,0.0,0.0,0.0,0.0,316565.211809445,4634991.461769072,5187099.534466545,31130532.858000536,31130532.858000536,0.0
12,0.0,12715254.816060832,12.0,12,2012.7246514664891,10.692814407511605,12.724651466489208,1,1,2010.6928144075116,2.1200666784816087,16.98752,16.98752,1.0,2000.0,13752700.0,400000.0,9972700.0,134797755.98667955,134797.75598667955,32000.0,0.0,4627.5721015009085,0.0,0.0,0.0,0.0,0.0,0.0,348308.33445694024,5074258.408542188,5658033.951531718,36788566.809532255,36788566.809532255,0.0
