time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7780000.0,253750000.0
1.0,1.0,4.510674330143205,4.510831101423225,0.0,0.0,0.0,1006084.5210898916,100000.0,0.0,0.0,5010797.382649136,7780000.0,253750000.0
2.0,1.0,9.021913321787027,4.511646881864418,0.0,0.0,0.0,1006084.5210898916,100000.0,254679.4289489838,1512759.1161309222,6377901.754399221,7780000.0,253750000.0
3.0,1.0,13.534225092608184,4.512976659777895,0.0,0.0,0.0,1006084.5210898916,100000.0,254771.55444829215,1513032.697489086,6377172.0370011665,7780000.0,253750000.0
4.0,1.0,18.04811817944201,4.51480951388976,0.0,0.0,0.0,1006084.5210898916,100000.0,254921.76102382812,1513478.653814165,6377172.426501406,7780000.0,253750000.0
5.0,1.0,22.564100965305606,4.517156057837435,0.0,0.0,0.0,1006084.5210898916,100000.0,255128.8656964304,1514093.3225312862,6377172.426293504,7780000.0,253750000.0
6.0,1.0,27.082682442498218,4.520006896547785,0.0,0.0,0.0,1006084.5210898916,100000.0,255394.1378730792,1514880.2630458905,6377172.426293615,7780000.0,253750000.0
7.0,1.0,31.604371453728348,4.523371125912473,0.0,0.0,0.0,1006084.5210898916,100000.0,255716.6050352878,1515836.3246120927,6377172.426293615,7780000.0,253750000.0
8.0,1.0,36.12967768754525,4.527241341721328,0.0,0.0,0.0,1006084.5210898916,100000.0,256097.4051034925,1516964.5576418291,6377172.426293615,7780000.0,253750000.0
9.0,1.0,40.65911063308731,4.531624549362803,0.0,0.0,0.0,1006084.5210898916,100000.0,256535.8286664911,1518262.4790480179,6377172.426293615,7780000.0,253750000.0
