time_seconds,i,offset_meters,offset_back_meters,total_dist_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,dt_seconds,length_meters,mass_static_kilograms,mass_rot_kilograms,mass_freight_kilograms,weight_static_newtons,res_rolling_newtons,res_bearing_newtons,res_davis_b_newtons,res_aero_newtons,res_grade_newtons,res_curve_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,pwr_res_watts,pwr_accel_watts,pwr_whl_out_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules,dist_in_main,milepost
0.0,0,1800.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000.0,349.45878834764187
1.0,1,1812.96416,0.0,12.96416,2,2,1800.0,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577159.2366993312,0.0,577159.2366993312,577159.2366993312,577159.2366993312,0.0,-49987.03584,349.4507327720643
2.0,2,1825.92832,12.964159999999993,25.92832,2,2,1812.96416,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,4515226.308635455,4515226.308635455,0.0,-49974.07168,349.4426771964868
3.0,3,1838.89248,25.928319999999985,38.89248,2,2,1825.92832,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,8453293.380571578,8453293.380571578,0.0,-49961.10752,349.4346216209092
4.0,4,1851.85664,38.89247999999998,51.85664,2,2,1838.89248,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,12391360.4525077,12391360.4525077,0.0,-49948.14336,349.42656604533164
5.0,5,1864.8208,51.85663999999997,64.82079999999999,2,2,1851.85664,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,16329427.524443824,16329427.524443824,0.0,-49935.1792,349.4185104697541
6.0,6,1877.78496,64.82079999999996,77.78495999999998,2,2,1864.8208,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,20267494.596379947,20267494.596379947,0.0,-49922.21504,349.4104548941765
7.0,7,1890.74912,77.78495999999996,90.74911999999998,2,2,1877.78496,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,24205561.66831607,24205561.66831607,0.0,-49909.25088,349.40239931859895
8.0,8,1903.71328,90.74911999999995,103.71327999999997,2,2,1890.74912,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,28143628.740252193,28143628.740252193,0.0,-49896.28672,349.39434374302135
9.0,9,1916.67744,103.71327999999994,116.67743999999996,2,2,1903.71328,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,32081695.812188316,32081695.812188316,0.0,-49883.32256,349.3862881674438
10.0,10,1929.6416,116.67743999999993,129.64159999999995,2,2,1916.67744,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,36019762.88412444,36019762.88412444,0.0,-49870.3584,349.3782325918662
11.0,11,1942.60576,129.64159999999993,142.60575999999995,2,2,1929.6416,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,39957829.956060566,39957829.956060566,0.0,-49857.39424,349.37017701628866
12.0,12,1955.56992,142.60575999999992,155.56991999999994,2,2,1942.60576,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,43895897.02799669,43895897.02799669,0.0,-49844.43008,349.3621214407111
13.0,13,1968.53408,155.5699199999999,168.53407999999993,2,2,1955.56992,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,47833964.09993281,47833964.09993281,0.0,-49831.46592,349.3540658651335
14.0,14,1981.49824,168.5340799999999,181.49823999999992,2,2,1968.53408,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,51772031.171868935,51772031.171868935,0.0,-49818.50176,349.346010289556
15.0,15,1994.4624,181.4982399999999,194.46239999999992,2,2,1981.49824,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,55710098.24380506,55710098.24380506,0.0,-49805.5376,349.33795471397843
16.0,16,2007.4265599999999,194.4623999999999,207.4265599999999,2,2,1994.4624,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,59648165.31574118,59648165.31574118,0.0,-49792.57344,349.32989913840083
17.0,17,2020.3907199999999,207.42655999999988,220.3907199999999,2,2,2007.4265599999999,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,63586232.387677304,63586232.387677304,0.0,-49779.60928,349.3218435628233
18.0,18,2033.3548799999999,220.39071999999987,233.3548799999999,2,2,2020.3907199999999,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,67524299.45961343,67524299.45961343,0.0,-49766.64512,349.3137879872457
19.0,19,2046.3190399999999,233.35487999999987,246.3190399999999,2,2,2033.3548799999999,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,71462366.53154956,71462366.53154956,0.0,-49753.68096,349.30573241166815
20.0,20,2059.2832,246.31903999999986,259.2831999999999,2,2,2046.3190399999999,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,75400433.60348569,75400433.60348569,0.0,-49740.7168,349.2976768360906
21.0,21,2072.24736,259.28319999999985,272.2473599999999,2,2,2059.2832,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,79338500.67542182,79338500.67542182,0.0,-49727.75264,349.289621260513
22.0,22,2085.21152,272.24735999999984,285.2115199999999,2,2,2072.24736,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,83276567.74735795,83276567.74735795,0.0,-49714.78848,349.28156568493546
23.0,23,2098.17568,285.21151999999984,298.1756799999999,2,2,2085.21152,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,87214634.81929408,87214634.81929408,0.0,-49701.82432,349.27351010935786
24.0,24,2111.13984,298.17567999999983,311.1398399999999,2,2,2098.17568,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,91152701.89123021,91152701.89123021,0.0,-49688.86016,349.2654545337803
25.0,25,2124.104,311.1398399999998,324.10399999999987,2,2,2111.13984,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,95090768.96316634,95090768.96316634,0.0,-49675.896,349.25739895820277
26.0,26,2137.06816,324.1039999999998,337.06815999999986,2,2,2124.104,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,99028836.03510247,99028836.03510247,0.0,-49662.93184,349.24934338262517
27.0,27,2150.03232,337.0681599999998,350.03231999999986,2,2,2137.06816,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,102966903.1070386,102966903.1070386,0.0,-49649.96768,349.2412878070476
28.0,28,2162.99648,350.0323199999998,362.99647999999985,2,2,2150.03232,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,106904970.17897473,106904970.17897473,0.0,-49637.00352,349.23323223147
29.0,29,2175.96064,362.9964799999998,375.96063999999984,2,2,2162.99648,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,110843037.25091086,110843037.25091086,0.0,-49624.03936,349.2251766558925
30.0,30,2188.9248,375.9606399999998,388.92479999999983,2,2,2175.96064,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,114781104.322847,114781104.322847,0.0,-49611.0752,349.21712108031494
31.0,31,2201.8889599999998,388.9247999999998,401.8889599999998,2,2,2188.9248,12.96416,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,175100.8655664437,84145.22791256243,0.0,0.0,0.0,0.0,0.0,0.0,3938067.0719361235,0.0,3938067.0719361235,118719171.39478312,118719171.39478312,0.0,-49598.11104,349.20906550473734
