time_seconds,dt_seconds,i,total_dist_meters,offset_meters,offset_back_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,pwr_res_watts,pwr_accel_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules,mass_static_kilograms,mass_freight_kilograms,mass_rot_kilograms,weight_static_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,length_meters
0.0,1.0,0,0.0,260.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390000.0,500000.0,200000.0,0.0,0.0,0.0,0.0,0.0,260.0
1.0,1.0,1,0.3412277660168379,260.34122776601686,0.0,2,2,260.0,0.36622776601683793,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,0.0,0.0,44490.82306478268,17363.215666444074,27127.607398338605,44490.82306478268,44490.82306478268,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
2.0,1.0,2,0.7324555320336759,260.73245553203367,0.341227766016857,2,2,260.34122776601686,0.4162277660168379,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,41.07510033426566,1746.340015089008,51709.336158734244,20606.728760395636,31102.60739833861,96200.15922351692,96200.15922351692,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
3.0,1.0,3,1.1736832980505139,261.1736832980505,0.7324555320336685,2,2,260.73245553203367,0.46622776601683796,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,53.05645066853132,1984.7626822289863,58428.418791137046,23350.811392798387,35077.60739833866,154628.57801465396,154628.57801465396,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
4.0,1.0,4,1.664911064067352,261.6649110640673,1.1736832980504914,2,2,261.1736832980505,0.516227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,66.56905100279698,2223.185349368965,65173.29401780387,26120.686619465272,39052.607398338594,219801.87203245785,219801.87203245785,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
5.0,1.0,5,2.20613883008419,262.20613883008417,1.6649110640673257,2,2,261.6649110640673,0.566227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,81.61290133706265,2461.608016508943,71944.19152623496,28916.584127896298,43027.60739833866,291746.0635586928,291746.0635586928,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
6.0,1.0,6,2.797366596101028,262.797366596101,2.2061388300841713,2,2,262.20613883008417,0.616227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,98.18800167132834,2700.0306836489212,78741.34100393012,31738.73360559146,47002.60739833867,370487.40456262295,370487.40456262295,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
7.0,1.0,7,3.4385943621178656,263.43859436211784,2.7973665961010283,2,2,262.797366596101,0.666227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,116.294352005594,2938.4533507889,85564.9721383893,34587.36474005076,50977.607398338536,456052.37670101225,456052.37670101225,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
8.0,1.0,8,4.129822128134704,264.12982212813466,3.43859436211784,2,2,263.43859436211784,0.716227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,135.93195233985963,3176.876017928878,92415.31461711288,37462.7072187742,54952.607398338674,548467.6913181251,548467.6913181251,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
9.0,1.0,9,4.871049894151541,264.8710498941515,4.129822128134663,2,2,264.12982212813466,0.766227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,157.10080267412533,3415.2986850688562,99292.59812760036,40364.99072926178,58927.60739833859,647760.2894457255,647760.2894457255,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
10.0,1.0,10,5.662277660168379,265.66227766016834,4.871049894151497,2,2,264.8710498941515,0.816227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,179.80090300839095,3653.721352208834,106197.05235735216,43294.44495901349,62902.60739833868,753957.3418030776,753957.3418030776,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
11.0,1.0,11,6.503505426185217,266.5035054261852,5.662277660168343,2,2,265.66227766016834,0.8662277660168379,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,204.03225334265665,3892.144019348813,113128.90699386786,46251.29959552934,66877.60739833851,867086.2487969454,867086.2487969454,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
12.0,1.0,12,7.394733192202056,267.394733192202,6.5035054261852,2,2,266.5035054261852,0.916227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,229.79485367692226,4130.566686488791,120088.39172464801,49235.784326309324,70852.60739833869,987174.6405215934,987174.6405215934,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
13.0,1.0,13,8.335960958218894,268.33596095821883,7.394733192202011,2,2,267.394733192202,0.966227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,257.088704011188,4368.989353628769,127075.73623719215,52248.12883885345,74827.60739833869,1114250.3767587855,1114250.3767587855,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
14.0,1.0,14,9.327188724235732,269.32718872423567,8.335960958218834,2,2,268.33596095821883,1.016227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,285.9138043454536,4607.412020768747,134091.17021900023,55288.56282066171,78802.60739833851,1248341.5469777856,1248341.5469777856,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
15.0,1.0,15,10.36841649025257,270.3684164902525,9.327188724235668,2,2,269.32718872423567,1.066227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,316.2701546797193,4845.834687908726,141134.9233575728,58357.315959234125,82777.6073983387,1389476.4703353585,1389476.4703353585,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
16.0,1.0,16,11.459644256269408,271.45964425626937,10.368416490252514,2,2,270.3684164902525,1.116227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,348.15775501398497,5084.257355048704,148207.22534040926,61454.617942070654,86752.60739833862,1537683.6956757677,1537683.6956757677,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
17.0,1.0,17,12.600872022286246,272.6008720222862,11.459644256269371,2,2,271.45964425626937,1.166227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,381.57660534825067,5322.680022188682,155308.30585501005,64580.69845667134,90727.6073983387,1692992.0015307777,1692992.0015307777,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
18.0,1.0,18,13.792099788303084,273.792099788303,12.600872022286183,2,2,272.6008720222862,1.2162277660168381,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,416.5267056825163,5561.102689328662,162438.39458887494,67735.78719053615,94702.60739833879,1855430.3961196525,1855430.3961196525,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
19.0,1.0,19,15.033327554319921,275.03332755431984,13.792099788303005,2,2,273.792099788303,1.2662277660168382,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,453.00805601678206,5799.52535646864,169597.72122950386,70920.11383116513,98677.60739833872,2025028.1173491564,2025028.1173491564,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
20.0,1.0,20,16.32455532033676,276.3245553203367,15.03332755431984,2,2,275.03332755431984,1.316227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,491.02065635104776,6037.948023608617,176786.51546439648,74133.9080660582,102652.60739833828,2201814.632813553,2201814.632813553,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
21.0,1.0,21,17.6657830863536,277.66578308635354,16.324555320336685,2,2,276.3245553203367,1.3662277660168383,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,530.5645066853133,6276.370690748596,184005.0069810545,77377.39958271543,106627.60739833907,2385819.639794607,2385819.639794607,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
22.0,1.0,22,19.05701085237044,279.05701085237035,17.665783086353542,2,2,277.66578308635354,1.4162277660168383,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,571.6396070195791,6514.793357888575,191253.42546697578,80650.81806863679,110602.607398339,2577073.065261583,2577073.065261583,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
23.0,1.0,23,20.498238618387276,280.4982386183872,19.057010852370354,2,2,279.05701085237035,1.4662277660168381,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,614.2459573538449,6753.216025028554,198532.0006096605,83954.3932113223,114577.6073983382,2775605.0658712434,2775605.0658712434,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
24.0,1.0,24,21.989466384404114,281.989466384404,20.498238618387177,2,2,280.4982386183872,1.5162277660168382,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,658.3835576881104,6991.638692168532,205840.9620966104,87288.35469827194,118552.60739833847,2981446.027967854,2981446.027967854,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
25.0,1.0,25,23.530694150420953,283.53069415042086,21.98946638440401,2,2,281.989466384404,1.566227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,704.0524080223761,7230.061359308509,213180.5396153241,90652.9322169857,122527.60739833838,3194626.567583178,3194626.567583178,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
26.0,1.0,26,25.121921916437792,285.1219219164377,23.530694150420857,2,2,283.53069415042086,1.6162277660168383,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,751.2525083566417,7468.4840264484865,220550.962853303,94048.35545496363,126502.60739833936,3415177.5304364813,3415177.5304364813,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
27.0,1.0,27,26.76314968245463,286.7631496824545,25.121921916437714,2,2,285.1219219164377,1.666227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,799.9838586909075,7706.906693588467,227952.4614980439,97474.8540997057,130477.60739833821,3643129.9919345253,3643129.9919345253,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
28.0,1.0,28,28.45437744847147,288.45437744847135,26.763149682454525,2,2,286.7631496824545,1.7162277660168384,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,850.246459025173,7945.329360728444,235385.26523705106,100932.65783871188,134452.6073983392,3878515.2571715764,3878515.2571715764,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
29.0,1.0,29,30.195605214488307,290.1956052144882,28.454377448471348,2,2,288.45437744847135,1.7662277660168382,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,902.040309359439,8183.752027868423,242849.60375782024,104421.9963594822,138427.60739833803,4121364.8609293965,4121364.8609293965,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
30.0,1.0,30,31.986832980505145,291.986832980505,30.195605214488182,2,2,290.1956052144882,1.8162277660168382,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,955.3654096937044,8422.174695008402,250345.7067478557,107943.09934951668,142402.60739833902,4371710.567677252,4371710.567677252,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
31.0,1.0,31,33.828060746521984,293.8280607465219,31.986832980505028,2,2,291.986832980505,1.8662277660168383,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,1010.2217600279703,8660.597362148379,257873.80389465386,111496.19649631529,146377.6073983386,4629584.371571906,4629584.371571906,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
32.0,1.0,32,35.719288512538824,295.7192885125387,33.828060746521885,2,2,293.8280607465219,1.9162277660168383,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,1066.609360362236,8899.020029288358,265434.1248857169,115081.51748737802,150352.60739833885,4895018.496457622,4895018.496457622,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
33.0,1.0,33,37.66051627855566,297.6605162785555,35.7192885125387,2,2,295.7192885125387,1.9662277660168386,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,1124.5282106965017,9137.442696428336,273026.89940854436,118699.29201020491,154327.60739833946,5168045.395866167,5168045.395866167,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
34.0,1.0,34,39.6517440445725,299.65174404457235,37.66051627855552,2,2,297.6605162785555,2.016227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,1183.9783110307676,9375.865363568315,280652.35715063324,122349.74975229593,158302.60739833728,5448697.7530168,5448697.7530168,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
35.0,1.0,35,41.69297181058934,301.6929718105892,39.651744044572354,2,2,299.65174404457235,2.066227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,1244.9596613650326,9614.288030708292,288310.72779948934,126033.12040115109,162277.60739833824,5737008.480816289,5737008.480816289,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
36.0,1.0,36,43.78419957660618,303.78419957660606,41.6929718105892,2,2,301.6929718105892,2.116227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,1307.4722616992983,9852.71069784827,296002.2410426085,129749.63364427033,166252.60739833815,6033010.721858897,6033010.721858897,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
37.0,1.0,37,45.92542734262302,305.92542734262287,43.784199576606056,2,2,303.78419957660606,2.166227766016838,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,1371.5161120335636,10091.133364988247,303727.1265674933,133499.5191691538,170227.6073983395,6336737.84842639,6336737.84842639,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
38.0,1.0,38,48.116655108639854,308.1166551086397,45.92542734262287,2,2,305.92542734262287,2.2162277660168384,0.0,0.0,0.0,0.0,47684.53342799567,3200.0,1437.0912123678297,10329.556032128226,311485.61406164075,137283.00666330135,174202.6073983394,6648223.462488031,6648223.462488031,0.0,1390000.0,500000.0,200000.0,13624152.407998763,0.0,0.0,0.0,0.0,260.0
