time_seconds,dt_seconds,total_dist_meters,speed_meters_per_second,speed_limit_meters_per_second,res_grade_newtons,res_curve_newtons,res_rolling_newtons,res_bearing_newtons,res_aero_newtons,res_davis_b_newtons,pwr_whl_out_watts,mass_static_kilograms,mass_freight_kilograms
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7780000.0,253750000.0
1.0,1.0,0.3412277660168379,0.36622776601683793,0.0,0.0,0.0,1006084.5210898916,100000.0,0.0,0.0,638124.7633941718,7780000.0,253750000.0
2.0,1.0,0.7324555320336759,0.4162277660168379,0.0,0.0,0.0,1006084.5210898916,100000.0,1678.7393506614392,122818.69552762358,780335.8427709247,7780000.0,253750000.0
3.0,1.0,1.1736832980505139,0.46622776601683796,0.0,0.0,0.0,1006084.5210898916,100000.0,2168.417138822877,139586.77087912173,887679.540433616,7780000.0,253750000.0
4.0,1.0,1.664911064067352,0.516227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,2720.677114484316,156354.84623061994,996779.7555184304,7780000.0,253750000.0
5.0,1.0,2.20613883008419,0.566227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,3335.519277645754,173122.92158211808,1107645.8753534951,7780000.0,253750000.0
6.0,1.0,2.797366596101028,0.616227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,4012.943628307193,189890.99693361626,1220287.2872669331,7780000.0,253750000.0
7.0,1.0,3.4385943621178656,0.666227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,4752.950166468632,206659.07228511444,1334713.3785868688,7780000.0,253750000.0
8.0,1.0,4.129822128134704,0.716227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,5555.538892130069,223427.1476366126,1450933.5366414313,7780000.0,253750000.0
9.0,1.0,4.871049894151541,0.766227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,6420.709805291509,240195.2229881108,1568957.1487587406,7780000.0,253750000.0
10.0,1.0,5.662277660168379,0.816227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,7348.462905952946,256963.2983396089,1688793.6022669254,7780000.0,253750000.0
11.0,1.0,6.503505426185217,0.8662277660168379,0.0,0.0,0.0,1006084.5210898916,100000.0,8338.798194114386,273731.3736911071,1810452.2844941071,7780000.0,253750000.0
12.0,1.0,7.394733192202056,0.916227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,9391.715669775822,290499.44904260524,1933942.582768416,7780000.0,253750000.0
13.0,1.0,8.335960958218894,0.966227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,10507.215332937263,307267.52439410344,2059273.884417972,7780000.0,253750000.0
14.0,1.0,9.327188724235732,1.016227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,11685.297183598703,324035.5997456016,2186455.5767709007,7780000.0,253750000.0
15.0,1.0,10.36841649025257,1.066227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,12925.96122176014,340803.67509709974,2315497.047155332,7780000.0,253750000.0
16.0,1.0,11.459644256269408,1.116227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,14229.20744742158,357571.75044859794,2446407.6828993843,7780000.0,253750000.0
17.0,1.0,12.600872022286246,1.166227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,15595.03586058302,374339.82580009615,2579196.871331188,7780000.0,253750000.0
18.0,1.0,13.792099788303084,1.2162277660168381,0.0,0.0,0.0,1006084.5210898916,100000.0,17023.44646124446,391107.9011515943,2713873.999778865,7780000.0,253750000.0
19.0,1.0,15.033327554319921,1.2662277660168382,0.0,0.0,0.0,1006084.5210898916,100000.0,18514.4392494059,407875.97650309245,2850448.4555705395,7780000.0,253750000.0
20.0,1.0,16.32455532033676,1.316227766016838,0.0,0.0,0.0,1006084.5210898916,100000.0,20068.01422506734,424644.0518545907,2988929.626034335,7780000.0,253750000.0
21.0,1.0,17.6657830863536,1.3662277660168383,0.0,0.0,0.0,1006084.5210898916,100000.0,21684.171388228773,441412.1272060888,3129326.898498391,7780000.0,253750000.0
22.0,1.0,19.05701085237044,1.4162277660168383,0.0,0.0,0.0,1006084.5210898916,100000.0,23362.910738890223,458180.20255758706,3271649.660290813,7780000.0,253750000.0
23.0,1.0,20.498238618387276,1.4662277660168381,0.0,0.0,0.0,1006084.5210898916,100000.0,25104.232277051666,474948.2779090852,3415907.2987397267,7780000.0,253750000.0
24.0,1.0,21.989466384404114,1.5162277660168382,0.0,0.0,0.0,1006084.5210898916,100000.0,26908.136002713098,491716.3532605833,3562109.201173275,7780000.0,253750000.0
