time_seconds,i,offset_meters,offset_back_meters,total_dist_meters,link_idx_front,link_idx_back,offset_in_link_meters,speed_meters_per_second,speed_limit_meters_per_second,speed_target_meters_per_second,dt_seconds,length_meters,mass_static_kilograms,mass_rot_kilograms,mass_freight_kilograms,weight_static_newtons,res_rolling_newtons,res_bearing_newtons,res_davis_b_newtons,res_aero_newtons,res_grade_newtons,res_curve_newtons,grade_front,grade_back,elev_front_meters,elev_back_meters,pwr_res_watts,pwr_accel_watts,pwr_whl_out_watts,energy_whl_out_joules,energy_whl_out_pos_joules,energy_whl_out_neg_joules,dist_in_main,milepost
0.0,0,1800.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000.0,349.45878834764187
1.0,1,1815.556992,0.0,15.556992,2,2,1800.0,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692591.0840391974,0.0,692591.0840391974,692591.0840391974,692591.0840391974,0.0,-49984.443008,349.4491216569488
2.0,2,1831.113984,15.556992000000037,31.113984,2,2,1815.556992,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,6539060.643813114,6539060.643813114,0.0,-49968.886016,349.43945496625577
3.0,3,1846.670976,31.113984000000073,46.670976,2,2,1831.113984,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,12385530.20358703,12385530.20358703,0.0,-49953.329024,349.42978827556266
4.0,4,1862.227968,46.67097600000011,62.227968,2,2,1846.670976,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,18231999.763360947,18231999.763360947,0.0,-49937.772032,349.4201215848696
5.0,5,1877.78496,62.227968000000146,77.78496,2,2,1862.227968,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,24078469.323134866,24078469.323134866,0.0,-49922.21504,349.4104548941765
6.0,6,1893.341952,77.78496000000018,93.341952,2,2,1877.78496,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,29924938.882908776,29924938.882908776,0.0,-49906.658048,349.40078820348344
7.0,7,1908.8989440000005,93.34195200000022,108.898944,2,2,1893.341952,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,35771408.44268269,35771408.44268269,0.0,-49891.101056,349.39112151279033
8.0,8,1924.4559360000003,108.89894400000026,124.45593599999998,2,2,1908.8989440000005,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,41617878.002456605,41617878.002456605,0.0,-49875.544064,349.3814548220973
9.0,9,1940.0129280000003,124.45593600000028,140.012928,2,2,1924.4559360000003,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,47464347.56223052,47464347.56223052,0.0,-49859.987072,349.3717881314042
10.0,10,1955.5699200000004,140.01292800000033,155.56992,2,2,1940.0129280000003,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,53310817.122004434,53310817.122004434,0.0,-49844.43008,349.3621214407111
11.0,11,1971.1269120000004,155.56992000000037,171.126912,2,2,1955.5699200000004,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,59157286.68177835,59157286.68177835,0.0,-49828.873088,349.352454750018
12.0,12,1986.6839040000004,171.1269120000004,186.683904,2,2,1971.1269120000004,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,65003756.24155226,65003756.24155226,0.0,-49813.316096,349.34278805932496
13.0,13,2002.2408960000005,186.68390400000044,202.240896,2,2,1986.6839040000004,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,70850225.80132619,70850225.80132619,0.0,-49797.759104,349.33312136863185
14.0,14,2017.7978880000005,202.24089600000048,217.79788800000003,2,2,2002.2408960000005,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,76696695.3611001,76696695.3611001,0.0,-49782.202112,349.3234546779388
15.0,15,2033.3548800000003,217.7978880000005,233.35488000000004,2,2,2017.7978880000005,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,82543164.92087403,82543164.92087403,0.0,-49766.64512,349.3137879872457
16.0,16,2048.9118720000006,233.35488000000055,248.91187200000005,2,2,2033.3548800000003,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,88389634.48064795,88389634.48064795,0.0,-49751.088128,349.30412129655264
17.0,17,2064.4688640000004,248.9118720000006,264.46886400000005,2,2,2048.9118720000006,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,94236104.04042187,94236104.04042187,0.0,-49735.531136,349.2944546058595
18.0,18,2080.025856,264.4688640000004,280.02585600000003,2,2,2064.4688640000004,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,100082573.6001958,100082573.6001958,0.0,-49719.974144,349.2847879151665
19.0,19,2095.582848,280.0258560000002,295.582848,2,2,2080.025856,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,105929043.15996972,105929043.15996972,0.0,-49704.417152,349.2751212244734
20.0,20,2111.13984,295.582848,311.13984,2,2,2095.582848,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,111775512.71974364,111775512.71974364,0.0,-49688.86016,349.2654545337803
21.0,21,2126.6968319999996,311.1398399999998,326.696832,2,2,2111.13984,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,117621982.27951756,117621982.27951756,0.0,-49673.303168,349.2557878430872
22.0,22,2142.253823999999,326.69683199999963,342.25382399999995,2,2,2126.6968319999996,15.556992,0.0,0.0,1.0,1800.0,13780000.0,300000.0,10150000.0,135065338.26059207,40519.601478177625,4000.0,210121.03867973248,121169.12819408988,0.0,0.0,0.0,0.0,0.0,0.0,5846469.559773916,0.0,5846469.559773916,123468451.83929148,123468451.83929148,0.0,-49657.746176,349.24612115239415
