milepost,loco_force_kN,air_force_kN,total_force_kN
177.15,7170.293282149476,12069.845673055734,19240.13895520521
177.65,7170.292418716339,45576.55284395772,52746.845262674055
178.15,3173.683672590716,50891.405765378986,54065.0894379697
178.65,4038.8942608358034,21799.499139054955,25838.39339989076
179.15,3007.986553537611,12381.41347591365,15389.400029451263
179.65,4706.386227054541,6200.6893747535105,10907.075601808052
180.15,6715.378915350098,1207.6825970926252,7923.061512442724
180.65,7045.680510525917,0.0,7045.680510525917
181.15,5918.004059854352,0.0,5918.004059854352
181.65,4256.0049426327305,176.1886474660423,4432.193590098773
182.15,4394.740013478751,3502.534518087266,7897.274531566018
182.65,6803.122597030393,8483.372315581828,15286.494912612221
183.15,7063.366275061757,10852.695962796004,17916.06223785776
183.65,7079.235637679942,10868.329586882732,17947.565224562673
184.15,7170.293282149476,10942.594064784893,18112.887346934367
184.65,7170.293282149476,11546.46479050071,18716.758072650184
185.15,7170.293282149476,12015.810156949656,19186.103439099134
185.65,7034.4998920710495,26524.64850651787,33559.14839858892
186.15,6900.173498092849,25976.11590377096,32876.2894018638
186.65,9022.397262649261,10359.075769353663,19381.473032002927
187.15,9018.785543534841,9151.911611979971,18170.697155514812
187.65,7154.270279621231,11178.864624638964,18333.134904260194
188.15,12446.09508295984,13662.112105709895,26108.207188669738
188.65,12293.739111005161,12533.79446042731,24827.533571432472
189.15,11446.254816560167,18718.422211621866,30164.677028182035
189.65,6780.531947831412,32072.567083047936,38853.09903087935
190.15,11308.238240706552,37608.7555281063,48916.993768812856
190.65,8411.110518907133,31144.52424790334,39555.63476681047
191.15,9237.776796641869,13422.533660227404,22660.310456869272
191.65,7141.80773068043,1971.6968707458223,9113.504601426252
192.15,6549.8164318811305,8207.173871659961,14756.990303541092
192.65,5085.4998836374,27996.683913491546,33082.18379712895
193.15,4967.124872698471,28749.959331335343,33717.08420403382
193.65,6668.958544731215,13986.41045882679,20655.369003558004
194.15,9411.618795742299,26347.190280377454,35758.80907611975
194.65,12331.343406151662,26056.43853116887,38387.781937320535
195.15,24141.92758746374,10350.352709224997,34492.28029668874
195.65,12306.146697712047,11193.427869671737,23499.574567383785
196.15,8805.962112953039,17966.257316090603,26772.219429043642
196.65,5964.345333608968,19911.508724433093,25875.85405804206
197.15,5801.145910022451,16081.621402314639,21882.76731233709
197.65,5372.9268404150935,9058.533855240932,14431.460695656026
198.15,4553.752420968802,1176.0630967628917,5729.815517731693
198.65,7315.533686667522,0.0,7315.533686667522
199.15,7265.233260547429,1034.026289022634,8299.259549570063
199.65,4827.366877513581,5930.081633805403,10757.448511318984
200.15,5777.24099682724,12643.991864793792,18421.232861621032
200.65,9461.536853354275,16590.5668487424,26052.103702096676
